"Relative Time (Process)","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MIN","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MAX"
"74582.100117","31704940544","31704940544","31704940544"
"74597.099463","31704940544","31704940544","31704940544"
"74612.099503","31704940544","31704940544","31704940544"
"74627.099959","31704940544","31704940544","31704940544"
"74642.099779","31704940544","31704940544","31704940544"
"74657.099136","31704940544","31704940544","31704940544"
"74672.0996","31704940544","31704940544","31704940544"
"74687.1001","31704940544","31704940544","31704940544"
"74702.100773","31704940544","31704940544","31704940544"
"74717.100121","31704940544","31704940544","31704940544"
"74732.099557","31704940544","31704940544","31704940544"
"74747.098724","31704940544","31704940544","31704940544"
"74762.099731","31704940544","31704940544","31704940544"
"74777.099226","31704940544","31704940544","31704940544"
"74792.100026","31704940544","31704940544","31704940544"
"74807.100535","31704940544","31704940544","31704940544"
"74822.099705","31704940544","31704940544","31704940544"
"74837.099813","31704940544","31704940544","31704940544"
"74852.100674","31704940544","31704940544","31704940544"
"74867.099941","31704940544","31704940544","31704940544"
"74882.098609","31704940544","31704940544","31704940544"
"74897.099641","31704940544","31704940544","31704940544"
"74912.10082","31704940544","31704940544","31704940544"
"74927.100058","31704940544","31704940544","31704940544"
"74942.09998","31704940544","31704940544","31704940544"
"74957.099438","31704940544","31704940544","31704940544"
"74972.099884","31704940544","31704940544","31704940544"
"74987.099617","31704940544","31704940544","31704940544"
"75002.09826","31704940544","31704940544","31704940544"
"75017.099387","31704940544","31704940544","31704940544"
"75032.099401","31704940544","31704940544","31704940544"
"75047.0996","31704940544","31704940544","31704940544"
"75062.099994","31704940544","31704940544","31704940544"
"75077.099158","31704940544","31704940544","31704940544"
"75092.102716","31704940544","31704940544","31704940544"
"75107.098539","31704940544","31704940544","31704940544"
"75122.100079","31704940544","31704940544","31704940544"
"75137.100541","31704940544","31704940544","31704940544"
"75152.098797","31704940544","31704940544","31704940544"
"75167.100121","31704940544","31704940544","31704940544"
"75182.099827","31704940544","31704940544","31704940544"
"75197.100391","31704940544","31704940544","31704940544"
"75212.099852","31704940544","31704940544","31704940544"
"75227.100501","31704940544","31704940544","31704940544"
"75242.099663","31704940544","31704940544","31704940544"
"75257.099255","31704940544","31704940544","31704940544"
"75272.099393","31704940544","31704940544","31704940544"
"75287.099821","31704940544","31704940544","31704940544"
"75302.099406","31704940544","31704940544","31704940544"
"75317.09968","31704940544","31704940544","31704940544"
"75332.099788","31704940544","31704940544","31704940544"
"75347.099767","31704940544","31704940544","31704940544"
